RunAddDouble1ATest: Duration=0.9527709, Accumulated=[500999998325.57697]
RunAddDouble48ATest: Duration=3.9385644, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144,4501000025549.37,5000999975705.032,5501000028026.787,6001000079299.072,500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144,4501000025549.37,5000999975705.032,5501000028026.787,6001000079299.072,500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144,4501000025549.37,5000999975705.032,5501000028026.787,6001000079299.072,500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144,4501000025549.37,5000999975705.032,5501000028026.787,6001000079299.072]
RunAddDouble48BTest: Duration=8.7019099, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619,9011000051167.426,10010999951309.262,11011000056115.713,12011000158801.639,1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619,9011000051167.426,10010999951309.262,11011000056115.713,12011000158801.639,1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619,9011000051167.426,10010999951309.262,11011000056115.713,12011000158801.639,1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619,9011000051167.426,10010999951309.262,11011000056115.713,12011000158801.639]
RunAddFloat1ATest: Duration=0.9504502, Accumulated=[536870900]
RunAddFloat1BTest: Duration=1.1107334, Accumulated=[1073741800]
RunAddFloat2ATest: Duration=0.9451923, Accumulated=[536870900,1073741800]
RunAddFloat2BTest: Duration=1.0868486, Accumulated=[1073741800,2147483600]
RunAddFloat3ATest: Duration=0.9473938, Accumulated=[536870900,1073741800,1073741800]
RunAddFloat3BTest: Duration=1.1071734, Accumulated=[1073741800,2147483600,2147483600]
RunAddFloat4ATest: Duration=0.9492033, Accumulated=[536870900,1073741800,1073741800,2147483600]
RunAddFloat4BTest: Duration=1.0636372, Accumulated=[1073741800,2147483600,2147483600,4294967300]
RunAddFloat5ATest: Duration=1.1410646, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600]
RunAddFloat5BTest: Duration=1.0421295, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300]
RunAddFloat6ATest: Duration=1.1758858, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600]
RunAddFloat6BTest: Duration=1.0464014, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300]
RunAddFloat7ATest: Duration=1.1749218, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600]
RunAddFloat7BTest: Duration=1.0418883, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300]
RunAddFloat8ATest: Duration=1.2007339, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300]
RunAddFloat8BTest: Duration=1.0486774, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000]
RunAddFloat9ATest: Duration=1.1891464, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300]
RunAddFloat9BTest: Duration=1.2647063, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000]
RunAddFloat10ATest: Duration=1.1882693, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300]
RunAddFloat10BTest: Duration=1.2645569, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000]
RunAddFloat11ATest: Duration=1.1856144, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300]
RunAddFloat11BTest: Duration=1.3404422, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000]
RunAddFloat12ATest: Duration=1.1833554, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300]
RunAddFloat12BTest: Duration=1.2405962, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000]
RunAddFloat13ATest: Duration=1.1849687, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300]
RunAddFloat13BTest: Duration=1.319267, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000]
RunAddFloat14ATest: Duration=1.1859171, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300]
RunAddFloat14BTest: Duration=1.2564038, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000]
RunAddFloat15ATest: Duration=1.1883348, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300]
RunAddFloat15BTest: Duration=1.3451196, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000]
RunAddFloat16ATest: Duration=1.1804449, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300,4294967300,8589935000]
RunAddFloat16BTest: Duration=1.2696179, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000,8589935000,17179870000]
RunAddFloat24ATest: Duration=1.1065653, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300,536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300]
RunAddFloat24BTest: Duration=1.4520719, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000,1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000]
RunAddFloat48ATest: Duration=1.4678272, Accumulated=[536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300,536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300,536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300,536870900,1073741800,1073741800,2147483600,2147483600,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,4294967300]
RunAddFloat48BTest: Duration=2.9409492, Accumulated=[1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000,1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000,1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000,1073741800,2147483600,2147483600,4294967300,4294967300,4294967300,4294967300,8589935000,8589935000,8589935000,8589935000,8589935000]
